model,seed,acc_A_native,acc_B_morphemic,delta_B_minus_A
google/gemma-2-2b,42,1.0,0.8,-0.19999999999999996
google/gemma-2-2b,43,0.9666666666666667,0.7666666666666667,-0.19999999999999996
google/gemma-2-2b,44,1.0,0.7666666666666667,-0.23333333333333328
Qwen/Qwen2-1.5B,42,0.9666666666666667,0.9333333333333333,-0.033333333333333326
Qwen/Qwen2-1.5B,43,0.9666666666666667,0.9666666666666667,0.0
Qwen/Qwen2-1.5B,44,0.9666666666666667,1.0,0.033333333333333326
Qwen/Qwen3.5-4B-Base,42,1.0,0.6333333333333333,-0.3666666666666667
Qwen/Qwen3.5-4B-Base,43,1.0,0.6333333333333333,-0.3666666666666667
Qwen/Qwen3.5-4B-Base,44,1.0,0.6333333333333333,-0.3666666666666667
BSC-LT/salamandra-2b,42,1.0,1.0,0.0
BSC-LT/salamandra-2b,43,1.0,1.0,0.0
BSC-LT/salamandra-2b,44,1.0,1.0,0.0
